Name,Genre,Type,Description
Strength,Universal,Core,Physical power and carrying capacity.
Dexterity,Universal,Core,"Agility reflexes and balance"
Constitution,Universal,Core,"Health stamina and vital force."
Intelligence,Universal,Core,"Reasoning memory and logic."
Wisdom,Universal,Core,"Perception intuition and willpower"
Charisma,Universal,Core,"Personality influence and leadership."
Mana,Fantasy,Genre,Magical capacity or connection to the Weave.
Sanity,Horror,Genre,Mental resilience against the eldritch.
Rads,Post-Apocalyptic,Genre,Resistance to radiation and mutation.
Power,Superhero,Genre,Raw magnitude of super-abilities.
