Deck,Type,Name,Description,Mechanic
Alpha Centauri,Ability,AI Implant,Neural computer assists with calculations data storage and tactical analysis,"{""skill_bonus"":""logic"",""value"":1}"
Alpha Centauri,Ability,Cryo-Recovery,Heal faster when in cold environments or cryo-sleep,"{""heal_bonus"":2,""condition"":""cold""}"
Alpha Centauri,Ability,Doesn't Need Sleep,Biological modifications allow 4-hour rest cycles instead of sleep,"{""utility"":""rest""}"
Alpha Centauri,Ability,Drone Control Interface,Direct neural link to command up to 5 autonomous drones,"{""minion_count"":5}"
Alpha Centauri,Ability,Emergency Stasis,Automatically enter suspended animation when critically injured,"{""auto_stabilize"":true}"
Alpha Centauri,Ability,Engineered Biology,Genetically optimized organs resistant to disease and toxins,"{""resistance"":""poison""}"
Alpha Centauri,Ability,Enhanced Reflexes,Reaction time 3x faster than baseline human,"{""initiative"":2}"
Alpha Centauri,Ability,Exo-Suit Proficiency,Trained to operate powered armor like a second skin,"{""proficiency"":""power_armor""}"
Alpha Centauri,Ability,Hacking Uplink,Direct interface with computer systems through touch,"{""skill_bonus"":""hacking"",""value"":1}"
Alpha Centauri,Ability,Implanted Weapon Systems,Retractable plasma casters or blade launchers built into forearms,"{""damage"":2,""concealed"":true}"
Alpha Centauri,Ability,Innate Jumper,Can teleport short distances (50 feet) instinctively during stress,"{""movement"":""teleport""}"
Alpha Centauri,Ability,Photosynthesis Skin,Specialized skin cells generate energy from starlight,"{""utility"":""sustenance""}"
Alpha Centauri,Ability,Radiation Resistance,Shielded cells protect against cosmic and nuclear radiation,"{""resistance"":""radiation""}"
Alpha Centauri,Ability,Seismic Sense,Detect vibrations through solid surfaces within 100 feet,"{""perception"":""vibration""}"
Alpha Centauri,Ability,Telekinesis,Move objects with your mind at distances up to 30 feet,"{""utility"":""teleport""}"
Alpha Centauri,Ability,Telepathy,Read surface thoughts and send mental messages to willing recipients,"{""social"":""telepathy""}"
Alpha Centauri,Character,Asteroid Miner,Rough worker extracting resources from the belt,"{""power_level"":2,""connection"":""industrial""}"
Alpha Centauri,Character,Centauri Dragon,Massive alien apex predator native to Proxima D,"{""power_level"":5,""hostile"":true}"
Alpha Centauri,Character,Centauri Governor,Political leader of one of the system's major settlements,"{""power_level"":3,""connection"":""political""}"
Alpha Centauri,Character,Corporate Spy,Agent stealing trade secrets between megacorporations,"{""power_level"":3,""connection"":""corporate""}"
Alpha Centauri,Character,Cryo-Tech Doctor,Medical specialist in suspended animation systems,"{""power_level"":2,""connection"":""medical""}"
Alpha Centauri,Character,Hydroponics Farmer,Cultivate crops in artificial environments aboard stations,"{""power_level"":1,""connection"":""civilian""}"
Alpha Centauri,Character,Proxima Mercenary,Gun-for-hire from the rough colonies of Proxima,"{""power_level"":3,""connection"":""military""}"
Alpha Centauri,Character,Proxima Native,Born and raised on Proxima B adapted to harsh conditions,"{""power_level"":2,""connection"":""local""}"
Alpha Centauri,Character,Salvage Scavenger,Recovers valuable materials from derelict ships,"{""power_level"":2,""connection"":""criminal""}"
Alpha Centauri,Character,Shuttle Pilot,Skilled operator of short-range spacecraft,"{""power_level"":2,""connection"":""transport""}"
Alpha Centauri,Character,Solar Merchant,Trader who deals in rare minerals from stellar mining operations,"{""power_level"":2,""connection"":""trade""}"
Alpha Centauri,Character,Space Station President,Administrator of a major orbital facility,"{""power_level"":3,""connection"":""political""}"
Alpha Centauri,Character,Stellar Worm,Enigmatic alien creature that lives in the vacuum of space,"{""power_level"":5,""hostile"":true}"
Alpha Centauri,Character,Terraform Engineer,Reshape entire planetary atmospheres and biospheres,"{""power_level"":2,""connection"":""science""}"
Alpha Centauri,Character,Union Representative,Labor organizer fighting for workers rights,"{""power_level"":2,""connection"":""labor""}"
Alpha Centauri,Character,Xenogeologist,Scientist studying alien planetary formations,"{""power_level"":2,""connection"":""science""}"
Alpha Centauri,Drawback,Artificial Gravity Addiction,Physical dependence on rotation-based gravity,"{""complication"":true}"
Alpha Centauri,Drawback,Bone Density Loss,Skeletal degradation from extended zero-G exposure,"{""weakness"":""physical""}"
Alpha Centauri,Drawback,Call of the Void,Inexplicable urge to expose yourself to vacuum,"{""sanity_loss"":true}"
Alpha Centauri,Drawback,Claustrophobia,Panic attacks in confined spaces,"{""fear"":""confined_spaces""}"
Alpha Centauri,Drawback,Corporate Debt Bondage,Indentured servitude to a megacorporation,"{""debt"":true}"
Alpha Centauri,Drawback,Earth Sickness,Depression and longing for a planet you've never seen,"{""morale"":-1}"
Alpha Centauri,Drawback,Fear of the Sky,Agoraphobia developed from living in enclosed spaces,"{""fear"":""open_spaces""}"
Alpha Centauri,Drawback,Gravity Weakness,Chronic pain in standard gravity after living in low-G,"{""weakness"":""gravity""}"
Alpha Centauri,Drawback,Insomnia,Inability to enter cryo-sleep properly,"{""fatigue"":true}"
Alpha Centauri,Drawback,Jump Sickness,Nausea and disorientation after FTL travel,"{""sickness"":""ftl""}"
Alpha Centauri,Drawback,Memory Fragmentation,Cryo-sleep has damaged long-term memory storage,"{""amnesia"":true}"
Alpha Centauri,Drawback,Oxygen Dependence,Require higher O2 levels than standard atmosphere,"{""dependency"":""oxygen""}"
Alpha Centauri,Drawback,Radiation Poisoning,Cumulative exposure causing chronic illness,"{""sickness"":""radiation""}"
Alpha Centauri,Drawback,Solar Flare Sensitivity,Extreme reactions to stellar radiation bursts,"{""weakness"":""radiation""}"
Alpha Centauri,Drawback,Techno-Virus,Malware infection in your cybernetic implants,"{""glitch"":true}"
Alpha Centauri,Drawback,Vertigo,Severe disorientation in three-dimensional space,"{""disorientation"":true}"
Alpha Centauri,Item,Cargo Ship,Massive freight hauler for transporting goods,"{""vehicle"":""cargo""}"
Alpha Centauri,Item,Ceramic Armor,Lightweight protective plating resistant to energy weapons,"{""armor"":2,""tag"":""light""}"
Alpha Centauri,Item,Data Pad,Portable computer for accessing databases and work,"{""utility"":""computer""}"
Alpha Centauri,Item,Emergency Beacon,Powerful long-range distress transmitter,"{""utility"":""signal""}"
Alpha Centauri,Item,Flare Gun,Emergency signal device that launches brilliant flares,"{""utility"":""signal""}"
Alpha Centauri,Item,Fusion Battery,High-capacity power cell for equipment and vehicles,"{""utility"":""power""}"
Alpha Centauri,Item,Geo-Scanner,Handheld device for detecting mineral deposits,"{""utility"":""scan""}"
